,Mean,SD,RMS,Peak-to-Peak,Kurtosis,Skewness,Crest,Status
78,8.967870712209328,298.3976398916291,298.38669532755716,1627.6139162790698,-0.2532404566865929,-0.4503206458090028,2.5492121864380963,stable
79,12.720054433139547,275.8880487934588,276.0465268089816,1248.1338046511628,-0.9304540697659625,-0.35721762186236977,2.111128527538704,stable
80,-3.461237863372089,309.1265639117562,308.9949726458869,1433.4268279069768,-0.8428068021892661,-0.34944275615716586,2.2698014357725684,stable
81,1.6661675145348784,295.51585474410973,295.3762239702128,1454.179646511628,-0.6844074785710812,-0.41924212089732493,2.2088435746419455,stable
82,-1.204426744186045,319.69926422215167,319.5453927996869,2137.54031627907,0.1930057068284099,-0.3684066841348601,3.298921444622506,stable
83,-0.36916053779070085,343.6390523546856,343.4714172492353,1824.765693023256,-0.11281191676739777,-0.2924008577727123,2.5253332237714172,stable
84,-1.5388227470930282,309.2482933322168,309.1010867518313,1620.2021953488374,-0.5561994442766185,-0.36853047829565644,2.412892060578031,stable
85,-5.473404287790695,348.23150573062054,348.1044623514941,2310.974586046512,0.3498225727920694,-0.3257371421937832,3.1134390672182306,stable
86,-1.9325704215116262,309.15245069170544,309.0075037988366,1786.2247441860466,-0.030748055216196946,-0.3741999673151485,2.735029435255524,stable
87,-4.782898255813953,352.0835215701423,351.94406494365927,1935.9415069767442,0.020709120936579062,-0.3260521197930416,2.641437460688882,stable
88,-3.280287645348841,302.248168071355,302.1183585000197,1605.3787534883722,-0.5362936374195937,-0.3886284993961668,2.4294081574361357,stable
89,-4.943582049418604,292.42898279336714,292.32796397553255,1426.0151069767442,-0.8480403967900383,-0.37854206348515634,2.2420180193419816,stable
90,-0.3952173691860478,281.1843037339621,281.04725105810064,1310.3922604651164,-0.8776494703808355,-0.4635177889166319,2.1157597127319483,stable
91,-6.449087863372085,343.0572075212935,342.9503002437071,1885.5418046511627,-0.07700037435919738,-0.25994327700137493,2.7150306640165547,stable
92,-2.817055087209298,296.4185820519424,296.28720343814257,1584.6259348837211,-0.5084001876241966,-0.3308601918989898,2.852450624925813,stable
93,-5.550127180232563,308.166493189359,308.0659842115232,1583.1435906976744,-0.49986870323043453,-0.3495779711427175,2.623093932365617,stable
94,-2.1395774709302398,345.95125321822286,345.78890985484725,1924.082753488372,-0.06982185660308282,-0.342393911746322,2.414097692296547,stable
95,-5.927951235465115,310.38852305137414,310.29355907855205,1802.5305302325582,-0.18480676528553275,-0.3626553446951292,2.9673325312560976,stable
96,-9.62078328488373,341.41686653217164,341.3857096456585,1796.6011534883723,-0.15827547927752494,-0.3220238374483392,2.627604611942745,stable
97,-4.199514752906981,291.03220473097264,290.92037659949955,1523.849823255814,-0.35961613678754567,-0.4428549687359704,2.2528657856543735,stable
98,-11.635844912790702,278.1434899336493,278.25104365015045,1439.356204651163,-0.8385569765332499,-0.35850734539962736,2.435353760733429,stable
99,-11.615578488372092,284.0359786984614,284.13478012312004,1280.7453767441862,-0.7853263498364766,-0.3970579520385672,2.0666837406462806,stable
100,-8.540872383720922,206.44723111719722,206.52308392722094,1212.5575441860465,0.2933707338989855,-0.3349894585266833,2.685439068569103,stable
101,-12.586919258720917,217.48366440902896,217.7415537985667,1578.6965581395348,1.5555524294660232,-0.41295041815767863,3.2142458624114956,stable
102,-7.321991715116281,204.77476355749755,204.80567728132027,939.8062139534884,-0.8661293801594585,-0.39439268498908003,1.976939314981411,stable
103,-6.431716642441872,200.19949570938974,200.20505636568072,1080.628911627907,0.3419450620705393,-0.3425710291669325,2.3185336635197396,stable
104,-8.202133575581412,223.13918927018355,223.18097738027024,1366.7213395348838,0.18408332873149869,-0.2990176345528406,2.651049250414306,stable
105,-10.894672819767447,181.29969962598793,181.53835897695402,907.1946418604651,-0.5370475805012607,-0.37040527260162026,1.9200312167816764,stable
106,-4.02290734011628,218.44108799942805,218.37146003219516,1469.003088372093,0.6302218323453235,-0.3507673042782445,2.811259884835163,stable
107,-6.524363154069759,193.2347133484548,193.25050388325997,1184.3930046511628,-0.13303844367264528,-0.3793765899332002,2.685782894454738,stable
108,-6.02204534883722,196.3263576970516,196.3228542323976,1298.5335069767443,1.6549413887782904,-0.44600631420058073,3.0288294935794795,stable
109,-4.072125799418597,215.68907756868714,215.62219033984215,1314.839293023256,-0.08195252532800534,-0.3788876842975176,2.6821110768088605,stable
110,-5.787533866279077,193.24318188707812,193.23549154233925,1076.1818790697675,-0.3176114635192371,-0.20478344328513096,2.7243474498539744,stable
111,-3.986717296511628,236.2429622792869,236.1612340504305,1606.8610976744185,0.636160950880551,-0.35517275644282514,3.0576993470850065,stable
112,0.295288662790696,222.7943278585336,222.68571077488681,1495.6852837209303,0.7011552587567382,-0.3795635947149208,2.889928622105828,stable
113,-3.902756395348834,182.90083697719376,182.85316241812072,1202.181134883721,0.2110262836753516,-0.4258708983968166,3.2438383844870464,stable
114,-0.8497643168604654,220.06397188873672,219.9581339844552,1305.9452279069767,0.17027669481324859,-0.30963987969895357,2.723588679667867,stable
115,0.9640806686046568,222.26859292849468,222.16212867415555,1184.393004651163,-0.5087392830485351,-0.48106115742002636,2.189470043721187,stable
116,0.5529617732558147,181.08920664567515,181.0016072373552,1136.9579906976744,1.2857218189533288,-0.3940783230781094,2.621847282663707,stable
117,4.032996366279076,203.24686838342785,203.18763117947435,1067.2878139534885,-0.182191064342057,-0.40101606773830156,2.299090985268502,stable
118,4.390553997093021,191.06655761902505,191.02370427458794,1171.0519069767442,0.34009128622898865,-0.46136367323426225,3.112851640171521,stable
119,4.4267440406976695,228.42777684208312,228.35912286952575,1388.9565023255814,0.3632925360488781,-0.3496685960914678,2.7207612233938088,stable
120,-5.396681395348853,622.2867674441477,622.0062541823633,3605.0610604651165,0.06933715019130426,-0.06274049928668497,2.914947172800362,transition
121,-0.32428488372092845,511.1709425165567,510.92138927647915,3061.0407441860466,-0.18122835402978987,-0.11959145473238221,3.099012991994746,transition
122,-3.9838220930232544,592.8099547371843,592.5338185480683,3012.1233860465118,-0.09123877743615028,-0.12150289973553631,2.4995539968466045,transition
123,-4.856725944767442,485.02194735010545,484.8093898571765,2708.2428279069773,0.48112565946882935,-0.14865979407417287,2.7705986996497445,transition
124,-10.20850959302326,617.8203323177154,617.6029637801429,2801.6305116279073,-0.6326718961583957,-0.07333827768920086,2.282886961647226,transition
