,Mean,SD,RMS,Peak-to-Peak,Kurtosis,Skewness,Crest,shape_factor,Status
0,23.335318023255766,15.047893345496908,27.762475204060397,99.31706046511628,0.14375270135116835,-0.2204206380494495,2.4102289309004434,[1.18971917],stable
1,23.490211409883727,17.02267122232807,29.004799392594343,140.82269767441858,2.2817862257415165,0.25125757665282367,3.4824525362892933,[1.24295711 1.2347611 ],stable
2,21.615567151162768,13.863735182349819,25.675829063166574,80.04658604651164,-0.10734579920592591,0.18169963275340376,2.4329063812667804,[1.10029908 1.09304376 1.18783971],stable
3,21.49686380813954,13.070224039218562,25.15510053866781,84.49361860465118,0.5413293362908016,-0.3826379923935869,2.1886283999235463,[1.07798405 1.07087587 1.16374927 1.17017537],stable
4,20.52118023255814,16.47084656510635,26.30860494691375,99.31706046511627,0.12662763076979688,-0.11150109534183547,2.599767842281679,[1.12741574 1.11998162 1.21711379 1.22383456 1.28202202],stable
5,19.028702834302347,13.547796304534591,23.354979667399697,85.97596279069768,0.22397344704555477,-0.18326898130454197,2.7381412216514907,[1.00084257 0.99424306 1.08047036 1.0864366  1.13809145 1.22735532],stable
6,17.54780625000002,14.455918104967592,22.73092599730195,97.83471627906977,0.21984997351906488,-0.23364497736053655,2.552463362946154,"[0.97409969 0.96767652 1.0515998  1.05740662 1.10768122 1.19455993
 1.29537138]",stable
7,17.004955595930213,12.60188777758864,21.1617817032378,68.18783255813955,-0.15513630714384563,-0.1328530080900262,2.3914874273548423,"[0.90685637 0.9008766  0.97900654 0.98441251 1.0312166  1.11209797
 1.20595027 1.24444792]",stable
8,15.2330910610465,17.415952928645375,23.131499588776936,115.6228465116279,0.3343104058517232,0.05288398471737111,3.469512138486245,"[0.99126567 0.98472931 1.07013151 1.07604066 1.12720123 1.21561095
 1.31819894 1.36027992 1.51850334]",stable
9,13.38016082848838,14.893526821249264,20.01572448525302,80.04658604651164,-0.06451404301229413,-0.38250723126219394,2.38030087528084,"[0.85774381 0.85208788 0.92598655 0.93109975 0.97536907 1.05187015
 1.1406397  1.17705244 1.31396342 1.49592555]",stable
10,11.96295872093022,16.52326488080471,20.392744892818765,96.35237209302325,-0.05852056562036623,-0.17707681788598328,2.772432643327798,"[0.87390045 0.86813799 0.94342863 0.94863814 0.99374133 1.0716834
 1.16212503 1.19922365 1.33871352 1.52410312 1.7046573 ]",stable
