,0,1,2,3,4,5,6,7,Status
0,755098.8442973696,32377.39015810336,625.7316734730854,1931.0274665836173,421.7515804937519,380.14127484421863,442.37249325524493,484.9729889053328,stable
1,831683.9014298688,29011.091261792753,863.2795866677859,1835.5946557398095,307.30426038574706,343.26800729311,432.62566307481524,382.8401661708371,stable
2,663475.3883210758,16025.929768463653,631.771611771136,1605.4347124519034,348.666855793744,438.1081098727904,350.2507483110864,436.01555141544424,stable
3,625635.7445720052,18766.645086148714,444.3071034588473,1023.7259253206773,428.96852448627897,366.5371158157039,301.7932120052102,427.22920152171224,stable
4,693645.1902619309,13989.774506752521,623.9420539772697,1632.5834762283955,440.8971502075068,355.0076382320198,472.7139915234847,408.4861048678328,stable
5,544860.65306665,11690.351985176741,444.9999046945568,1020.4767275009302,383.76876012480767,388.84178411055024,483.21791229131856,358.53769118424754,stable
6,518823.21023143805,9735.994577859186,651.9283199777236,807.6648243365714,469.8404193365012,443.28832370110507,409.8773429349224,399.8223039766149,stable
7,442306.768921288,15790.817935852165,697.748629039168,968.0765954498344,523.5790179466117,350.55318169244646,459.04310054817455,396.93366738419263,stable
8,512525.06744688406,35313.212187145284,782.0739935485369,1597.5356116760224,444.22186597593435,368.86159879088694,347.4540966579144,411.238768597797,stable
9,382720.99431131885,23945.36684699065,659.411066122358,1419.7603435454043,414.6060210607949,369.660845005955,388.66127207591074,452.2059145774804,stable
10,392602.60770703753,30340.082920428813,623.272748052478,1086.6683002229188,376.70429964019996,345.09009444723523,466.014161169337,392.82199974404006,stable
11,281306.0511880918,34852.11652451203,691.0020003865246,1562.8873643399454,400.9753455379796,449.42826181642323,480.8229497216931,360.0919868494204,stable
12,265006.0131374219,25261.26339565279,671.3313772205357,1561.1799614448105,516.6615389574783,373.2418219816537,448.2688965728181,492.00719392916017,stable
13,254227.51781425995,16673.45119612739,689.6528187905152,1245.9409750774714,426.9590463781832,373.7780634898597,448.5309031060459,521.9553136063004,stable
14,150096.2964596802,12787.405331938866,646.3870558738118,782.1916793650978,410.046347450125,461.3036175518962,361.7721380893294,431.0541160881524,stable
15,270581.18117726955,23616.024244894663,699.8569968240959,1558.9302694163182,420.78107684965806,392.5795410760764,391.78332202119253,412.83427164723247,stable
16,154369.80892885974,32170.755192201435,567.7100084759834,1400.6828931801963,512.2546482673841,300.17363410480857,334.7233921909359,503.82611300508466,stable
17,142227.99850112692,13981.186025283643,655.9727719989082,959.8448957802794,381.3363582217594,371.48750769848255,386.7465286107175,418.3110822389398,stable
18,202009.81246113687,13742.670617871558,711.8144447259049,997.1383807756729,418.21788424667204,456.14760426504284,511.9926496055657,503.4009554928475,stable
19,269259.2831386458,18515.280515478757,643.8143312170405,936.2190028337006,300.611496971816,377.69532791841107,529.7180093649181,370.3392725439326,stable
20,501201.3766765254,109303.12184697064,2550.1606354154587,4479.794118316815,486.9405320799347,533.9328485793956,980.1886370508053,678.1021798219815,stable
21,548396.9232213643,70068.19002140906,1564.8464231211442,3200.395350159827,464.2752052801042,543.756093158127,756.3056948913921,817.5022470779629,stable
22,1076193.1567121395,97565.98883018979,2274.5601278311597,5662.34056209359,454.2801961185649,469.3257280274563,866.3205458335962,720.7975850685995,stable
23,668370.0475813405,83346.4411124598,2358.7819386265337,5006.469578458891,403.8058661701047,429.40696320722515,1056.2987293101364,600.0182954101438,stable
24,1684043.2769693055,135438.44907596026,2713.932933040643,7059.742829508421,448.2159213562569,486.98633376537003,1005.6529440170519,817.1902272765127,stable
25,8004251.886478611,260350.14545739922,3383.796499762678,17179.95818532391,496.19275079402985,430.8389941456805,1458.5356643073844,850.8745439289635,stable
26,1176523.0127933584,109058.90239068745,1787.48267547542,5752.040681774033,578.4172050945265,502.0139544529487,906.1630543741478,808.8626758775337,stable
27,1227451.3018703195,119225.86033272065,2726.8337932791806,7405.708350486263,457.24273092299865,460.2306143337239,928.7726948753544,590.4516085411111,stable
28,553920.5567825462,60587.58659217021,1870.3582286365502,5008.715777478546,422.91296840755246,427.34931634986435,931.6991432406857,519.1939411847267,stable
29,757107.2143362028,154301.0678906855,2003.7877480996829,6482.799968140333,505.56703540515156,508.798123560602,901.011029552778,511.936048490179,stable
30,554398.7997976782,86153.12347964423,1605.159718805245,5064.831338638683,457.54997844928545,419.34529708577105,851.2995226921951,632.5421116148324,stable
31,932655.309447395,86766.14518959187,2532.6202174144537,6565.50762314816,358.1241125603704,427.1105833884112,1017.0335705623548,614.3265666157096,stable
32,713601.492284761,57855.68568928764,2098.6397436557154,3938.300670342146,442.3775554474591,503.8756845832331,1095.3997631297395,735.6933072753922,stable
33,628821.0111125244,97284.76216908208,1363.5992043660901,3350.4418520471922,418.4668632943821,446.1580466703376,742.7646753419489,583.4274978889745,stable
34,523840.4728873717,66309.79642996671,1402.0045480755648,3848.1776664906183,455.24026082389565,385.81537566579345,911.9706260408851,789.7184934574808,stable
